name,birth_time,death_time,birthplace
Franz Joseph Haydn,31 mar 1732 ,  31 may 1809 ,Rohrau
Carl Philipp Emanuel Bach,8 mar 1714 ,  14 dec 1788 ,Weimar
Johann Sebastian Bach,31 mar 1685 ,  28 jul 1750 ,Eisenach
Richard Wagner,22 may 1813 ,  13 feb 1883 ,Leipzig
Robert Schumann,8 jun 1810 ,  29 jul 1856 ,Zwickau
Johannes Brahms,7 may 1833,  3 apr 1897,Hamburg
Felix Mendelssohn-Bartholdy,3 feb 1809 ,  4 nov 1847 ,Hamburg
Anton Rubinstein,28 nov 1829 ,  20 nov 1894 ,Ofatinţi
Pyotr Ilyich Tchaikovsky,7 may 1840 ,  6 nov 1893 ,Wotkinsk
Frédéric Chopin,"1 mar 1810, Zelazowa Wola ","  17 oct 1849, Paris ",Pl
Franz Liszt,22 oct 1811 ,  31 jul 1886 ,Raiding
Carl Czerny,21 feb 1791 ,  15 jul 1857 ,Vienna
Muzio Clementi,23 jan 1752 ,  10 mar 1832 ,Roma
