opus,name,composer,album
21:2,Die Schöpfung (The Creation),Franz Joseph Haydn,ablum2
1:94,"Symphony no. 94 ""Surprise""",Franz Joseph Haydn,ablum3
9:22,10 Menuets for piano,Franz Joseph Haydn,ablum1
16:49,Piano Sonata No. 59 in E flat major,Franz Joseph Haydn,ablum2
1:104,"Symphony no. 104 ""london""",Franz Joseph Haydn,ablum4
22:9,"Missa in Tempore Belli ""Paukenmesse""",Franz Joseph Haydn,ablum2
7a:4,Violin concerto no. 4 in G major,Franz Joseph Haydn,ablum4
22:7,"Missa Brevis ""Sancti Joannis de Deo""",Franz Joseph Haydn,ablum1
1:100,"Symphony no. 100 ""Military""",Franz Joseph Haydn,ablum2
19,32 Pieces for mechanical clock (Flötenuhr),Franz Joseph Haydn,ablum1
22:11,"Mass in D minor """"Lord Nelson""",Franz Joseph Haydn,ablum2
4:1,London Trio no.1 in C major,Franz Joseph Haydn,ablum4
18:11,Piano concerto in D major H. 18:11,Franz Joseph Haydn,ablum4
22:6,"Missa Sancti Nicholai ""St. Nicholas Mass""",Franz Joseph Haydn,ablum4
7e:1,Trumpet Concerto,Franz Joseph Haydn,ablum1
16:50,Piano Sonata No. 60 in C major,Franz Joseph Haydn,ablum2
16:37,Piano Sonata No. 50 in D major,Franz Joseph Haydn,ablum3
3:63,"String quartet in D major ""The Lark""",Franz Joseph Haydn,ablum2
1:101,"Symphony no. 101 ""Clock""",Franz Joseph Haydn,ablum2
1:34,Symphony no. 34,Franz Joseph Haydn,ablum3
132,Sonata for Flute solo in A minor,Carl Philipp Emanuel Bach,ablum3
172,Cello Concerto in A major,Carl Philipp Emanuel Bach,ablum2
117:2,Solfeggietto in C minor,Carl Philipp Emanuel Bach,ablum2
48:1,Prussian Sonata No.1,Carl Philipp Emanuel Bach,ablum2
183:1,Symphony in D major Wq183,Carl Philipp Emanuel Bach,ablum2
1,"Keyboard Concerto in A minor, H403",Carl Philipp Emanuel Bach,ablum3
182:3,Symphony No. 3 in C major Wq182,Carl Philipp Emanuel Bach,ablum4
92:1,"Sonata for clarinet, bassoon & keyboard No. 1",Carl Philipp Emanuel Bach,ablum1
124,Flute Sonata in E minor (Wq 124),Carl Philipp Emanuel Bach,ablum1
23,Keyboard concerto in D minor H427,Carl Philipp Emanuel Bach,ablum1
92:6,"Sonata for clarinet, bassoon & keyboard No. 6",Carl Philipp Emanuel Bach,ablum4
202:O4,Die Trennung in D minor,Carl Philipp Emanuel Bach,ablum4
183:2,Symphony in E flat major Wq183,Carl Philipp Emanuel Bach,ablum4
183:3,Symphony in F major Wq183,Carl Philipp Emanuel Bach,ablum4
1007,Cello Suite No. 1 in G major,Johann Sebastian Bach,ablum2
1046,Brandenburg Concerto No. 1,Johann Sebastian Bach,ablum1
565,Toccata and Fugue in d minor,Johann Sebastian Bach,ablum3
939+,5 Little Preludes (BWV939-943),Johann Sebastian Bach,ablum3
1001,Violin Sonata No. 1 in G minor,Johann Sebastian Bach,ablum3
846+,Well-Tempered Clavier I,Johann Sebastian Bach,ablum4
244,St. Matthew Passion,Johann Sebastian Bach,ablum1
1068,Orchestral Suite No. 3 in D (contains Air on the G string),Johann Sebastian Bach,ablum1
1004,Violin Partita no. 2 in D minor,Johann Sebastian Bach,ablum3
988,Goldberg Variations,Johann Sebastian Bach,ablum2
232,Mass in B minor,Johann Sebastian Bach,ablum4
243,Magnificat in D Major,Johann Sebastian Bach,ablum2
578,"Fugue in G minor ""Little""",Johann Sebastian Bach,ablum4
1043,Concerto for 2 violins in D minor,Johann Sebastian Bach,ablum1
772+,Two-part inventions,Johann Sebastian Bach,ablum2
1009,Cello Suite No. 3 in C,Johann Sebastian Bach,ablum3
1080,Art of fugue (Die Kunst der Fuge),Johann Sebastian Bach,ablum4
147,Herz und Mund und Tat und Leben (contains Jesu joy of man's desiring),Johann Sebastian Bach,ablum4
1048,Brandenburg Concerto No. 3,Johann Sebastian Bach,ablum1
649,"Ach bleib bei uns, Herr Jesu Christ BWV649",Johann Sebastian Bach,ablum3
86B,Die Walküre (Ride of the Valkyries),Richard Wagner,ablum4
75,Lohengrin (contains wedding march),Richard Wagner,ablum1
90,Tristan und Isolde,Richard Wagner,ablum3
86A,Das Rheingold,Richard Wagner,ablum2
111,Parsifal,Richard Wagner,ablum1
96,Die Meistersinger von Nürnberg,Richard Wagner,ablum3
70,Tannhäuser und der Sängerkrieg auf Wartburg,Richard Wagner,ablum2
69,Das Liebesmahl der Apostel,Richard Wagner,ablum3
63,Der fliegende Holländer,Richard Wagner,ablum3
86C,Siegfried,Richard Wagner,ablum2
86D,Götterdämmerung,Richard Wagner,ablum1
108,Albumblatt für Frau Betty Schott,Richard Wagner,ablum2
91,Wesendonck-Lieder,Richard Wagner,ablum2
103,Siegfried-Idyll,Richard Wagner,ablum3
25,Myrthen (song cycle),Robert Schumann,ablum4
42,Frauenliebe und -leben,Robert Schumann,ablum3
15,Kinderszenen (Scenes from childhood),Robert Schumann,ablum3
48,Dichterliebe,Robert Schumann,ablum4
54,Piano Concerto in A minor,Robert Schumann,ablum1
39,Liederkreis op. 39,Robert Schumann,ablum3
73,Fantasiestücke op. 73,Robert Schumann,ablum3
97,"Symphony No. 3 in E flat ""Rhenish""",Robert Schumann,ablum4
38,"Symphony No. 1 in B flat ""Spring""",Robert Schumann,ablum4
120,Symphony No. 4 in D minor,Robert Schumann,ablum4
105,Violin Sonata No. 1 in A Minor,Robert Schumann,ablum1
12,Fantasiestücke op. 12,Robert Schumann,ablum4
129,Cello Concerto in A minor,Robert Schumann,ablum4
9,Carnaval,Robert Schumann,ablum2
94,3 Romances op. 94,Robert Schumann,ablum3
70,Adagio and Allegro,Robert Schumann,ablum3
W23,Violin concerto in D minor,Robert Schumann,ablum2
28,3 Romances op. 28,Robert Schumann,ablum3
44,Piano Quintet,Robert Schumann,ablum2
47,Piano Quartet in E flat major,Robert Schumann,ablum2
WoO 1,Hungarian Dances,Johannes Brahms,ablum1
68,Symphony No. 1 in C minor,Johannes Brahms,ablum3
45,Deutsches Requiem,Johannes Brahms,ablum1
98,Symphony No. 4 in E minor,Johannes Brahms,ablum2
122,11 Choral Preludes for Organ,Johannes Brahms,ablum4
90,Symphony No. 3 in F Major,Johannes Brahms,ablum1
38,Cello Sonata No. 1 in E minor,Johannes Brahms,ablum1
15,Piano Concerto No. 1 in D minor,Johannes Brahms,ablum3
73,Symphony No. 2 in D Major,Johannes Brahms,ablum1
39,16 Waltzes for Piano,Johannes Brahms,ablum2
W35,12 german folk songs,Johannes Brahms,ablum4
83,Piano Concerto No. 2,Johannes Brahms,ablum4
78,Violin Sonata No. 1 in G major,Johannes Brahms,ablum3
52,Liebeslieder Waltzes for voice and piano,Johannes Brahms,ablum2
79,2 Rhapsodies for Piano,Johannes Brahms,ablum3
108,Violin Sonata No. 3 in D minor,Johannes Brahms,ablum2
54,Schicksalslied,Johannes Brahms,ablum1
18,String Sextet No. 1,Johannes Brahms,ablum3
25,Piano Quartet No. 1 in G minor,Johannes Brahms,ablum2
114,Clarinet Trio in A minor,Johannes Brahms,ablum2
64,Violin Concerto in E minor,Felix Mendelssohn-Bartholdy,ablum3
61,A Midsummer Night's Dream (contains Wedding March),Felix Mendelssohn-Bartholdy,ablum4
90,"Symphony no. 4 ""Italian""",Felix Mendelssohn-Bartholdy,ablum2
19,"Songs without Words, Vol. I",Felix Mendelssohn-Bartholdy,ablum4
56,"Symphony no. 3 ""Scottish""",Felix Mendelssohn-Bartholdy,ablum1
70,Elias,Felix Mendelssohn-Bartholdy,ablum1
107,"Symphony no. 5 ""Reformation""",Felix Mendelssohn-Bartholdy,ablum4
69,"3 English Church Pieces: (solo voices, chorus",Felix Mendelssohn-Bartholdy,ablum2
14,Rondo capriccioso in E Major,Felix Mendelssohn-Bartholdy,ablum2
36,Paulus,Felix Mendelssohn-Bartholdy,ablum3
20,Octet in E Flat Major for strings,Felix Mendelssohn-Bartholdy,ablum2
28,"Fantasy in F Sharp minor, ""Sonate écossaise""",Felix Mendelssohn-Bartholdy,ablum4
30,"Songs without Words, Vol. II",Felix Mendelssohn-Bartholdy,ablum2
81,4 pieces for string quartet,Felix Mendelssohn-Bartholdy,ablum3
65:4,Sonata for organ no. 4 in B flat major,Felix Mendelssohn-Bartholdy,ablum1
78:3,"Psalm 22 ""Mein Gott, warum hast du""",Felix Mendelssohn-Bartholdy,ablum4
62,"Songs without Words, Vol. V",Felix Mendelssohn-Bartholdy,ablum3
12,String Quartet #1 in E Flat Major,Felix Mendelssohn-Bartholdy,ablum2
54,Variations sérieuses in D minor,Felix Mendelssohn-Bartholdy,ablum1
66,Piano Trio no. 2 in C minor,Felix Mendelssohn-Bartholdy,ablum1
44,6 soirées á Saint-Petersburg,Anton Rubinstein,ablum1
20a,Swan Lake (suite),Pyotr Ilyich Tchaikovsky,ablum3
23,Piano Concerto no. 1,Pyotr Ilyich Tchaikovsky,ablum4
71a,The Nutcracker - suite,Pyotr Ilyich Tchaikovsky,ablum3
71,The Nutcracker,Pyotr Ilyich Tchaikovsky,ablum4
74,"Symphony No.6 ""Pathétique""",Pyotr Ilyich Tchaikovsky,ablum2
49,1812,Pyotr Ilyich Tchaikovsky,ablum1
TH 42,Romeo and Juliet Overture,Pyotr Ilyich Tchaikovsky,ablum4
35,Violin Concerto,Pyotr Ilyich Tchaikovsky,ablum4
36,Symphony No.4,Pyotr Ilyich Tchaikovsky,ablum2
37a,The Seasons,Pyotr Ilyich Tchaikovsky,ablum3
66,The Sleeping Beauty,Pyotr Ilyich Tchaikovsky,ablum2
64,Symphony No.5,Pyotr Ilyich Tchaikovsky,ablum4
50,Piano Trio in A minor op. 50,Pyotr Ilyich Tchaikovsky,ablum3
24,Eugene Onegin,Pyotr Ilyich Tchaikovsky,ablum4
44,Piano Concerto No. 2,Pyotr Ilyich Tchaikovsky,ablum1
42,Souvenir d'un lieu cher,Pyotr Ilyich Tchaikovsky,ablum4
39,Children's Album,Pyotr Ilyich Tchaikovsky,ablum3
58,Symphony Manfred,Pyotr Ilyich Tchaikovsky,ablum2
56,Concert Fantasia,Pyotr Ilyich Tchaikovsky,ablum3
68,Pique dame,Pyotr Ilyich Tchaikovsky,ablum2
10,12 Etudes Op. 10,Frédéric Chopin,ablum4
9,Nocturnes Op.  9 (pour Madame Pleyel),Frédéric Chopin,ablum1
66,Fantasie Impromptu,Frédéric Chopin,ablum4
27,2 Nocturnes Op. 27,Frédéric Chopin,ablum3
49,Nocturne no. 20 in C sharp minor Posth,Frédéric Chopin,ablum1
11,Piano Concerto No. 1,Frédéric Chopin,ablum4
72:1,Nocturne no. 19 in E minor,Frédéric Chopin,ablum3
25,12 Etudes Op. 25,Frédéric Chopin,ablum3
23,Ballade No.1,Frédéric Chopin,ablum4
64,Waltzes for piano op 64,Frédéric Chopin,ablum1
28,Preludes,Frédéric Chopin,ablum4
21,Piano Concerto No. 2,Frédéric Chopin,ablum2
108,Nocturne no. 21 in C minor Posth.,Frédéric Chopin,ablum2
35,Piano Sonata No.2 in B flat minor,Frédéric Chopin,ablum2
53,Polonaise No. 6 A flat Major 'Heroic',Frédéric Chopin,ablum3
69,2 Waltzes Op. 69,Frédéric Chopin,ablum4
150,Waltz no. 19 in A minor,Frédéric Chopin,ablum1
37,2 Nocturnes Op. 37,Frédéric Chopin,ablum1
42,"Waltz no.  5 in A flat major ""Grande Valse""",Frédéric Chopin,ablum2
55,Nocturnes Op. 55,Frédéric Chopin,ablum1
139,12 Transcendental Etudes,Franz Liszt,ablum4
244,Hungarian Rhapsodies,Franz Liszt,ablum2
541,Liebesträume: 3 Notturnos,Franz Liszt,ablum4
124,Piano Concerto No. 1 in E flat,Franz Liszt,ablum1
178,Piano Sonata in B minor,Franz Liszt,ablum2
514,Mephisto Waltz No 1,Franz Liszt,ablum1
144,3 concert etudes,Franz Liszt,ablum1
125,Piano Concerto No. 2 in A major,Franz Liszt,ablum1
558,12 Lieder (Schubert),Franz Liszt,ablum1
511a,Les Préludes (v2),Franz Liszt,ablum1
359,Hungarian Rhapsodies for orchestra (Doppler),Franz Liszt,ablum3
160,Années de pèlerinage I,Franz Liszt,ablum2
141,6 trancendental etudes after Paganini (v2),Franz Liszt,ablum3
145,2 concert etudes,Franz Liszt,ablum4
126ii,"Totentanz Paraphrase on ""Dies Irae""",Franz Liszt,ablum3
407,"Waltz from Gounod's ""Faust""",Franz Liszt,ablum1
97,Les Preludes (orch),Franz Liszt,ablum4
172,Consolations,Franz Liszt,ablum3
480,6 Chants Polonais (Chopin),Franz Liszt,ablum2
566,Widmung (Schumann),Franz Liszt,ablum3
167,Sonatina in A major,Carl Czerny,ablum2
36:1,Sonatina Op.36 No.1 in C major,Muzio Clementi,ablum3
36:3,Sonatina Op.36 No.3 in C major,Muzio Clementi,ablum1
36:2,Sonatina Op.36 No.2 in G major,Muzio Clementi,ablum1
36:6,Sonatina Op.36 No.6 in D major,Muzio Clementi,ablum2
36:4,Sonatina Op.36 No.4 in F major,Muzio Clementi,ablum1
36:5,Sonatina Op.36 No.5 in G major,Muzio Clementi,ablum1
24:3,Piano sonata in E flat op. 24 no. 3,Muzio Clementi,ablum4
50:3,"Piano Sonata in G Minor ""Didone Abbandonata""",Muzio Clementi,ablum3
25:5,Piano Sonata No. 5 in F Sharp Minor Op. 25,Muzio Clementi,ablum3
24:2,Sonata in B flat Major,Muzio Clementi,ablum3
25:6,Piano Sonata no. 6 in D major op. 25,Muzio Clementi,ablum3
